[DIPPR Text]
1822CASN  	95-15-8
1823CASN  	149-30-4
1824CASN  	110-81-6
1825CASN  	5332-52-5
1826CASN  	143-10-2
1827CASN  	110-66-7
1828CASN  	624-92-0
1829CASN  	629-19-6
1831CASN  	288761
1832CASN  	7133-46-2
1833CASN  	55735-23-4
1834CASN  	1195-14-8
1837CASN  	112-55-0
1838CASN  	141-59-3
1839CASN  	1639-09-4
1841CASN  	109-79-5
1842CASN  	108-98-5
1843CASN  	110-01-0
1844CASN  	67-68-5
1845CASN  	126-33-0
1846CASN  	77-79-2
1847CASN  	872-93-5
1848CASN  	598-03-8
1849CASN  	598-04-9
1850CASN  	353-50-4
1851CASN  	75-36-5
1852CASN  	79-11-8
1853CASN  	79-04-9
1854CASN  	79-36-7
1855CASN  	76-02-8
1856CASN  	98-88-4
1857CASN  	98-56-6
1858CASN  	320-60-5
1859CASN  	95-51-2
1860CASN  	462-06-6
1861CASN  	107-30-2
1862CASN  	96-24-2
1863CASN  	96-23-1
1864CASN  	392-56-3
1865CASN  	616-23-9
1866CASN  	111-44-4
1867CASN  	97-93-8
1868CASN  	3268-49-3
1870CASN  	76-05-1
1871CASN  	4048-33-3
1872CASN  	56-40-6
1873CASN  	107-96-0
1874CASN  	118-91-2
1875CASN  	104-01-8
1876CASN  	68-12-2
1877CASN  	57-13-6
1878CASN  	79-39-0
1879CASN  	79-06-1
1880CASN  	105-60-2
1881CASN  	106-89-8
1882CASN  	75-86-5
1883CASN  	688-74-4
1884CASN  	603-35-0
1885CASN  	680-31-9
1886CASN  	98-95-3
1887CASN  	79-14-1
1888CASN  	107-89-1
1889CASN  	98-01-1
1890CASN  	594-61-6
1891CASN  	91-23-6
1892CASN  	127-08-2
1893CASN  	463-58-1
1894CASN  	75-44-5
1895CASN  	828-00-2
1896CASN  	136911
1897CASN  	108-65-6
1898CASN  	88917-22-0
1899CASN  	932952
1901CASN  	7664-93-9
1902CASN  	7664-38-2
1903CASN  	7697-37-2
1904CASN  	7647-01-0
1905CASN  	7664-39-3
1906CASN  	10035-10-6
1907CASN  	10034-85-2
1908CASN  	13598-36-2
1909CASN  	6303-21-5
1911CASN  	7664-41-7
1912CASN  	1310-73-2
1913CASN  	1310-58-3
1914CASN  	1305-62-0
1915CASN  	21645-51-2
1916CASN  	1336-21-6
1921CASN  	7732-18-5
1922CASN  	2148878
1923CASN  	7704-34-9
1924CASN  	7723-14-0
1925CASN  	2125683
1926CASN  	10026-13-8
1927CASN  	3982-91-0
1928CASN  	1314-80-3
1929CASN  	10025-87-3
1930CASN  	16752-60-6
1931CASN  	7632-51-1
1932CASN  	7727-18-6
1933CASN  	7784-30-7
1934CASN  	10025-91-9
1935CASN  	4109-96-0
1936CASN  	10025-78-2
1937CASN  	10026-04-7
1938CASN  	75-15-0
1939CASN  	7647-14-5
1940CASN  	2551-62-4
1941CASN  	7778-18-9
1942CASN  	2095581
1943CASN  	7757-82-6
1944CASN  	10102-03-1
1945CASN  	6834-92-0
1946CASN  	10043-52-4
1947CASN  	7447-40-7
1948CASN  	2139626
1949CASN  	13450-90-3
1950CASN  	7791-25-5
1951CASN  	2125597
1952CASN  	698078
1953CASN  	2146053
1954CASN  	2139900
1955CASN  	7558-79-4
1956CASN  	10124-56-8
1957CASN  	7758-29-4
1958CASN  	13453-80-0
1959CASN  	7601-54-9
1960CASN  	7722-88-5
1961CASN  	10294-34-5
1962CASN  	14808-60-7
1963CASN  	13463-67-7
1964CASN  	999-97-3
1965CASN  	107-46-0
1966CASN  	541-05-9
1967CASN  	7783-61-1
1969CASN  	141-63-9
1970CASN  	98-66-8
1971CASN  	124-70-9
1972CASN  	7783-54-2
1973CASN  	10604-69-0
1974CASN  	17496-08-1
1980CASN  	1590-87-0
1981CASN  	7803-51-2
1982CASN  	7803-62-5
1983CASN  	19287-45-7
1984CASN  	75-76-3
1985CASN  	2120424
1986CASN  	2696-92-6
1987CASN  	7616-94-6
1988CASN  	556-67-2
1989CASN  	10036-47-2
1990CASN  	6484-52-2
1991CASN  	7440-44-0
1992CASN  	7440-38-2
1993CASN  	7440-56-4
1994CASN  	7440-62-2
1995CASN  	1305-78-8
1996CASN  	7722-84-1
1997CASN  	7789-20-0
1998CASN  	7553-56-2
1999CASN  	7440-69-9
2043CASN  	111-30-8
2081CASN  	638-68-6
2082CASN  	544-85-4
2086CASN  	630-06-8
2089CASN  	123-18-2
2095CASN  	7146-60-3
2096CASN  	4032-94-4
2097CASN  	15869-89-3
2098CASN  	2051-30-1
2099CASN  	1072-16-8
2112CASN  	620-17-7
2113CASN  	128-37-0
2115CASN  	60-12-8
2117CASN  	108-82-7
2118CASN  	93-54-9
2119CASN  	698-87-3
2120CASN  	1123-85-9
2121CASN  	122-97-4
2180CASN  	57-88-5
2181CASN  	98-85-1
2182CASN  	589-18-4
2183CASN  	89-95-2
2184CASN  	587-03-1
2195CASN  	140-66-9
2196CASN  	80-46-6
2197CASN  	599-64-4
2198CASN  	1323-65-5
2219CASN  	625-69-4
2226CASN  	616-12-6
2240CASN  	3524-73-0
2248CASN  	112-47-0
2249CASN  	105-08-8
2250CASN  	471-77-2
2251CASN  	4588-18-5
2252CASN  	15870-10-7
2253CASN  	528-44-9
2254CASN  	78024-33-6
2255CASN  	463-40-1
2256CASN  	514-10-3
2257CASN  	123-99-9
2258CASN  	75-98-9
2259CASN  	1002-84-2
2260CASN  	149-57-5
2261CASN  	111-14-8
2262CASN  	595-37-9
2263CASN  	1185-39-3
2264CASN  	1740-19-8
2265CASN  	506-12-7
2266CASN  	646-30-0
2267CASN  	506-30-9
2268CASN  	110-17-8
2269CASN  	111-16-0
2270CASN  	505-48-6
2271CASN  	140-10-3
2274CASN  	13831-30-6
2275CASN  	111-20-6
2277CASN  	498-23-7
2278CASN  	97-65-4
2279CASN  	88-09-5
2280CASN  	110-15-6
2281CASN  	110-94-1
2282CASN  	89-05-4
2283CASN  	15687-27-1
2285CASN  	17699-86-4
2289CASN  	1141-38-4
2298CASN  	616-02-4
2305CASN  	589-40-2
2306CASN  	762-75-4
2307CASN  	629-33-4
2308CASN  	112-23-2
2310CASN  	592-44-9
2311CASN  	4351-54-6
2321CASN  	540-88-5
2332CASN  	547-63-7
2337CASN  	97-62-1
2343CASN  	689-12-3
2350CASN  	104-57-4
2353CASN  	2495-27-4
2354CASN  	96-05-9
2355CASN  	840-65-3
2364CASN  	622-45-7
2367CASN  	108-32-7
2370CASN  	102-76-1
2373CASN  	65185-89-9
2374CASN  	28553-12-0
2375CASN  	84-66-2
2376CASN  	84-74-2
2377CASN  	131-11-3
2378CASN  	123-25-1
2379CASN  	110-33-8
2380CASN  	542-10-9
2381CASN  	999-21-3
2382CASN  	105-76-0
2384CASN  	106-63-8
2385CASN  	111-82-0
2386CASN  	141-05-9
2387CASN  	624-48-6
2388CASN  	2432-63-5
2389CASN  	401255
2390CASN  	3377-92-2
2391CASN  	616-38-6
2392CASN  	2315-68-6
2405CASN  	628-55-7
2414CASN  	628-71-7
2415CASN  	625-54-7
2417CASN  	5756-43-4
2422CASN  	505-22-6
2432CASN  	462-95-3
2456CASN  	629-14-1
2478CASN  	1191-99-7
2522CASN  	18970-44-0
2526CASN  	78-99-9
2527CASN  	142-28-9
2545CASN  	78-88-6
2575CASN  	2131-18-2
2576CASN  	1459-09-2
2577CASN  	14752-75-1
2578CASN  	929727
2592CASN  	87-61-6
2593CASN  	108-70-3
2610CASN  	662-01-1
2611CASN  	356-18-3
2615CASN  	677-21-4
2619CASN  	430-66-0
2625CASN  	1805-22-7
2626CASN  	335-57-9
2627CASN  	460-73-1
2628CASN  	679-86-7
2629CASN  	1814-88-6
2630CASN  	431-89-0
2631CASN  	431-63-0
2634CASN  	98-08-8
2637CASN  	74-95-3
2638CASN  	78-76-2
2639CASN  	74-97-5
2640CASN  	151-67-7
2641CASN  	75-62-7
2642CASN  	624-72-6
2645CASN  	812-04-4
2646CASN  	354-56-3
2647CASN  	354-23-4
2648CASN  	2837-89-0
2649CASN  	1717-00-6
2650CASN  	811-97-2
2651CASN  	684-16-2
2652CASN  	76-19-7
2653CASN  	360-89-4
2654CASN  	115-25-3
2655CASN  	76-13-1
2656CASN  	76-12-0
2658CASN  	76-11-9
2659CASN  	2366-36-1
2660CASN  	359-35-3
2661CASN  	106-38-7
2684CASN  	638-45-9
2685CASN  	542-69-8
2686CASN  	353-59-3
2687CASN  	75-63-8
2688CASN  	75-61-6
2690CASN  	598-73-2
2691CASN  	79-38-9
2692CASN  	76-15-3
2693CASN  	76-16-4
2694CASN  	593-60-2
2695CASN  	75-68-3
2696CASN  	75-02-5
2706CASN  	111-26-2
2707CASN  	111-68-2
2708CASN  	111-86-4
2709CASN  	112-20-9
2710CASN  	2016-57-1
2712CASN  	124-22-1
2713CASN  	18328-90-0
2714CASN  	4067-16-7
2715CASN  	102-70-5
2716CASN  	102-82-9
2717CASN  	111-40-0
2718CASN  	112-57-2
2719CASN  	102-69-2
2720CASN  	109-75-1
2721CASN  	2432-74-8
2722CASN  	111-36-4
2723CASN  	3173-53-3
2724CASN  	578-54-1
2725CASN  	95-54-5
2726CASN  	75-55-8
2727CASN  	108-45-2
2728CASN  	4062-60-6
2729CASN  	1003-03-8
2730CASN  	101-83-7
2731CASN  	100-60-7
2732CASN  	111-41-1
2733CASN  	2141-58-4
2734CASN  	2141-59-5
2735CASN  	1119-85-3
2736CASN  	101-68-8
2737CASN  	74-31-7
2738CASN  	119-75-5
2739CASN  	124-02-7
2740CASN  	99-65-0
2741CASN  	528-29-0
2742CASN  	100-25-4
2743CASN  	121-14-2
2744CASN  	606-20-2
2745CASN  	610-39-9
2746CASN  	99-35-4
2747CASN  	118-96-7
2748CASN  	619-15-8
2749CASN  	618-85-9
2750CASN  	106-50-3
2751CASN  	103-71-9
2752CASN  	110-85-0
2759CASN  	289-80-5
2763CASN  	289-95-2
2766CASN  	288-13-1
2771CASN  	928-53-0
2772CASN  	764-42-1
2773CASN  	628-87-5
2774CASN  	7327-60-8
2778CASN  	78-11-5
2779CASN  	55-63-0
2780CASN  	88-74-4
2781CASN  	100-01-6
2782CASN  	99-09-2
2783CASN  	122-66-7
2784CASN  	120-72-9
2785CASN  	119-65-3
2786CASN  	60-09-3
2787CASN  	92-67-1
2788CASN  	3173-72-6
2789CASN  	86-74-8
2790CASN  	100-54-9
2791CASN  	579-66-8
2793CASN  	624-83-9
2794CASN  	5809-59-6
2795CASN  	108-75-8
2796CASN  	108-48-5
2797CASN  	108-99-6
2798CASN  	4553-62-2
2799CASN  	108-89-4
2800CASN  	822-06-0
2801CASN  	4098-71-9
2812CASN  	420-12-2
2815CASN  	628-29-5
2816CASN  	14290-92-7
2817CASN  	287-27-4
2823CASN  	132-65-0
2838CASN  	25103-58-6
2839CASN  	25360-10-5
2844CASN  	554-14-3
2845CASN  	616-44-4
2850CASN  	76-22-2
2851CASN  	75-12-7
2852CASN  	123-39-7
2853CASN  	60-35-5
2854CASN  	123-42-2
2855CASN  	98-00-0
2856CASN  	127-19-5
2857CASN  	103-90-2
2858CASN  	1691-17-4
2859CASN  	150-76-5
2860CASN  	109-86-4
2861CASN  	110-80-5
2862CASN  	111-76-2
2863CASN  	111-77-3
2864CASN  	111-90-0
2865CASN  	929-06-6
2866CASN  	105-39-5
2867CASN  	107-29-9
2868CASN  	1885-48-9
2869CASN  	112-35-6
2870CASN  	123-56-8
2871CASN  	619-66-9
2872CASN  	68-11-1
2873CASN  	868-77-9
2874CASN  	21282-97-3
2875CASN  	547-64-8
2876CASN  	1589-47-5
2877CASN  	3682-91-5
2878CASN  	55-21-0
2879CASN  	7775-38-4
2880CASN  	119-67-5
2881CASN  	25714-71-0
2882CASN  	121-73-3
2883CASN  	118-93-4
2884CASN  	99-93-4
2885CASN  	2628-17-3
2886CASN  	50-78-2
2887CASN  	156-43-4
2888CASN  	77-68-9
2889CASN  	116-09-6
2890CASN  	17990-11-3
2892CASN  	95-57-8
2893CASN  	108-43-0
2894CASN  	106-48-9
2897CASN  	3944-36-3
2898CASN  	107-07-3
2899CASN  	99-63-8
2900CASN  	4394-85-8
2901CASN  	10043-35-3
2902CASN  	7789-21-1
2903CASN  	7782-77-6
2904CASN  	7790-92-3
2905CASN  	1333-82-0
2906CASN  	7790-94-5
2907CASN  	7782-78-7
2921CASN  	10025-85-1
2923CASN  	7439-89-6
2924CASN  	7439-93-2
2925CASN  	7429-90-5
2926CASN  	7446-70-0
2927CASN  	1344-28-1
2928CASN  	12125-02-9
2929CASN  	631-61-8
2930CASN  	7439-97-6
2935CASN  	497-19-8
2936CASN  	144-55-8
2937CASN  	7631-99-4
2938CASN  	7647-15-6
2939CASN  	7440-21-3
2940CASN  	7440-66-6
2941CASN  	7782-92-5
2942CASN  	584-08-7
2943CASN  	7722-76-1
2944CASN  	7790-98-9
2945CASN  	2023695
2946CASN  	10196-04-0
2947CASN  	10192-30-0
2948CASN  	1113-38-8
2949CASN  	7803-63-6
2950CASN  	7720-78-7
2951CASN  	1309-48-4
2952CASN  	7487-88-9
2953CASN  	409-21-2
2954CASN  	7440-23-5
2955CASN  	7681-38-1
2956CASN  	10588-01-9
2957CASN  	7681-52-9
2958CASN  	1313-82-2
2959CASN  	7772-98-7
2960CASN  	7631-90-5
2961CASN  	7775-14-6
2962CASN  	7632-00-0
2963CASN  	2093666
2964CASN  	1313-60-6
2965CASN  	7550-45-0
2966CASN  	7782-65-2
2967CASN  	7783-20-2
2968CASN  	10043-01-3
2969CASN  	1184-58-3
2970CASN  	471-34-1
2971CASN  	7789-75-5
2972CASN  	7778-54-3
2973CASN  	1345-25-1
2974CASN  	1309-37-1
2975CASN  	1314-13-2
2976CASN  	1303-96-4
2977CASN  	10049-04-4
2978CASN  	7758-98-7
2979CASN  	7758-89-6
2980CASN  	7447-39-4
2981CASN  	7733-02-0
2983CASN  	7601-90-3
2984CASN  	7681-49-4
2985CASN  	513-77-9
2986CASN  	7440-22-4
2987CASN  	7558-80-7
2988CASN  	7783-28-0
2990CASN  	107-51-7
2991CASN  	556-69-4
2994CASN  	631-36-7
2995CASN  	541-01-5
3101CASN  	21078-81-9
3102CASN  	32480-16-3
3103CASN  	22663-61-2
3240CASN  	565-48-0
3241CASN  	565-50-4
3251CASN  	13151-06-9
3258CASN  	2980-71-4
3259CASN  	26741-24-2
3260CASN  	20348-51-0
3261CASN  	20063-97-2
3262CASN  	7206-26-0
3263CASN  	7206-13-5
3268CASN  	141-82-2
3366CASN  	4427-96-7
3377CASN  	106-65-0
3378CASN  	123-79-5
3379CASN  	103-23-1
3390CASN  	204446
3545CASN  	102-25-0
3601CASN  	143-15-7
3602CASN  	55334-42-4
3701CASN  	6228-73-5
3702CASN  	5500-21-0
3710CASN  	59919-41-4
3714CASN  	86-89-5
3716CASN  	1116-76-3
3722CASN  	2050-92-2
3723CASN  	621-77-2
3724CASN  	7307-55-3
3725CASN  	59-67-6
3726CASN  	63-91-2
3727CASN  	479-45-8
3728CASN  	1120-48-5
3729CASN  	106-20-7
3730CASN  	110-18-9
3740CASN  	260-94-6
3742CASN  	109-76-2
3747CASN  	1821-27-8
3748CASN  	1100-10-3
3750CASN  	92-87-5
3790CASN  	91-08-7
3796CASN  	103-69-5
3798CASN  	461-58-5
3801CASN  	110-06-5
3802CASN  	107-47-1
3810CASN  	872-55-9
3811CASN  	1551-27-5
3812CASN  	638-02-8
3850CASN  	1559-35-9
3851CASN  	54839-24-6
3852CASN  	132739-31-2
3853CASN  	79-43-6
3854CASN  	107-98-2
3855CASN  	34590-94-8
3856CASN  	57018-52-7
3857CASN  	25498-49-1
3858CASN  	94023-15-1
3859CASN  	6881-94-3
3860CASN  	106-47-8
3861CASN  	143-22-6
3862CASN  	112-50-5
3864CASN  	556-52-5
3865CASN  	112-25-4
3866CASN  	112-59-4
3867CASN  	111-03-5
3868CASN  	29911-27-1
3869CASN  	1569-01-3
3870CASN  	124-17-4
3871CASN  	38433-80-6
3872CASN  	107-16-4
3873CASN  	540-61-4
3874CASN  	140-29-4
3875CASN  	3710-84-7
3876CASN  	625-22-9
3877CASN  	2465-32-9
3878CASN  	122-32-7
3881CASN  	57-50-1
3882CASN  	628-96-6
3883CASN  	623-81-4
3884CASN  	791-28-6
3885CASN  	6145-31-9
3886CASN  	6294-34-4
3887CASN  	121-75-5
3888CASN  	10441-57-3
3889CASN  	10493-43-3
3890CASN  	1187-93-5
3891CASN  	30025-38-8
3892CASN  	75899-69-3
3894CASN  	1569-02-4
3895CASN  	58797-58-3
3897CASN  	96-35-5
3898CASN  	124-63-0
3902CASN  	1333-74-0
3924CASN  	7723-14-0
3928CASN  	1327-53-3
3935CASN  	993-00-0
3936CASN  	75-54-7
3937CASN  	75-79-6
3938CASN  	75-94-5
3939CASN  	7681-82-5
3940CASN  	7681-11-0
3941CASN  	10377-51-2
3949CASN  	7758-94-3
3950CASN  	10545-99-0
3951CASN  	2148909
3952CASN  	7705-08-0
3953CASN  	10377-60-3
3955CASN  	532-32-1
3956CASN  	127-09-3
3957CASN  	546-89-4
3969CASN  	75-24-1
3970CASN  	1445-79-0
3971CASN  	78-00-2
3984CASN  	992-94-9
3985CASN  	1111-74-6
3986CASN  	993-07-7
3987CASN  	1066-35-9
3988CASN  	75-77-4
3989CASN  	75-78-5
3990CASN  	7440-41-7
3991CASN  	541-02-6
3992CASN  	540-97-6
3993CASN  	80-10-4
3994CASN  	115-21-9
3995CASN  	1719-53-5
4487CASN  	3071-32-7
4727CASN  	823-40-5
4849CASN  	498-02-2
4850CASN  	121-33-5
4851CASN  	110-99-6
4852CASN  	123-76-2
4853CASN  	6915-15-7
4854CASN  	90-05-1
4855CASN  	2807-30-9
4857CASN  	112-34-5
4858CASN  	108-42-9
4859CASN  	121-17-5
4860CASN  	102-36-3
4861CASN  	60-00-4
4862CASN  	1304222
4863CASN  	98-46-4
4864CASN  	104-15-4
4865CASN  	75-87-6
4866CASN  	76-03-9
4867CASN  	107-20-0
4868CASN  	79-02-7
4870CASN  	97-00-7
4872CASN  	100-10-7
4873CASN  	541-41-3
4874CASN  	75-75-2
4875CASN  	625-45-6
4876CASN  	79-22-1
4877CASN  	6012-97-1
4879CASN  	95-76-1
4880CASN  	99-54-7
4881CASN  	50-99-7
4882CASN  	88-73-3
4883CASN  	100-00-5
4884CASN  	78-40-0
4885CASN  	512-56-1
4886CASN  	7803-49-8
4887CASN  	100-64-1
4889CASN  	463-72-9
4985CASN  	317069
4986CASN  	2487-90-3
4987CASN  	1112-39-6
4988CASN  	98-13-5
4989CASN  	149-74-6
4990CASN  	7440-70-2
4993CASN  	107-52-8
4994CASN  	141-62-8
5848CASN  	127-17-3
5850CASN  	78-30-8
5851CASN  	115-86-6
5852CASN  	12075-68-2
5853CASN  	141-53-7
5854CASN  	98-11-3
5855CASN  	5329-14-6
5856CASN  	121-57-3
5857CASN  	542-88-1
5858CASN  	1656-48-0
5859CASN  	156-87-6
5860CASN  	78-96-6
5862CASN  	148-18-5
5863CASN  	577-11-7
5865CASN  	142-47-2
5866CASN  	96-34-4
5867CASN  	625-60-5
5868CASN  	102-01-2
5869CASN  	288-42-6
5870CASN  	103-84-4
5871CASN  	148-24-3
5872CASN  	78-97-7
5873CASN  	56-87-1
5874CASN  	77-78-1
5875CASN  	64-67-5
5876CASN  	56-86-0
5877CASN  	50-81-7
5878CASN  	1191-25-9
5879CASN  	77-92-9
5880CASN  	50-21-5
5881CASN  	133-37-9
5882CASN  	6064-63-7
5883CASN  	97-64-3
5884CASN  	111-15-9
5885CASN  	112-15-2
5886CASN  	105-45-3
5887CASN  	141-97-9
5888CASN  	105-34-0
5889CASN  	105-56-6
5890CASN  	110-67-8
5891CASN  	143-33-9
5892CASN  	288-14-2
5893CASN  	66032-51-7
5894CASN  	540-82-9
5895CASN  	109-78-4
6851CASN  	594-44-5
6852CASN  	2425-74-3
6853CASN  	58-08-2
6854CASN  	79-16-3
6855CASN  	111-48-8
6856CASN  	62-56-6
6857CASN  	91352
6858CASN  	60-24-2
6859CASN  	110-77-0
6860CASN  	540-63-6
6861CASN  	100-37-8
6862CASN  	109-83-1
6863CASN  	108-01-0
6864CASN  	110-97-4
6865CASN  	88-20-0
6866CASN  	103-76-4
6867CASN  	37143-54-7
6868CASN  	70807-90-8
6869CASN  	18600-41-4
6870CASN  	112-07-2
6871CASN  	10049-60-2
6872CASN  	121-32-4
6883CASN  	818-61-1
6884CASN  	923-26-2
6885CASN  	763-69-9
6886CASN  	959-26-2
