[DIPPR Text]
 414CASN  	78-80-8
 416CASN  	629-05-0
 418CASN  	689-97-4
 419CASN  	598-23-2
 420CASN  	646-05-9
 421CASN  	871-28-3
 424CASN  	501-65-5
 426CASN  	567104
 427CASN  	764-93-2
 501CASN  	71-43-2
 502CASN  	108-88-3
 504CASN  	100-41-4
 505CASN  	95-47-6
 506CASN  	108-38-3
 507CASN  	106-42-3
 509CASN  	103-65-1
 510CASN  	98-82-8
 511CASN  	611-14-3
 512CASN  	620-14-4
 513CASN  	622-96-8
 514CASN  	526-73-8
 515CASN  	95-63-6
 516CASN  	108-67-8
 518CASN  	104-51-8
 519CASN  	538-93-2
 520CASN  	135-98-8
 521CASN  	98-06-6
 522CASN  	527-84-4
 523CASN  	535-77-3
 524CASN  	99-87-6
 525CASN  	135-01-3
 526CASN  	141-93-5
 527CASN  	105-05-5
 530CASN  	488-23-3
 531CASN  	527-53-7
 532CASN  	95-93-2
 533CASN  	7364-19-4
 534CASN  	1012-72-2
 541CASN  	700-12-9
 543CASN  	99-62-7
 544CASN  	100-18-5
 545CASN  	877-44-1
 547CASN  	87-85-4
 548CASN  	42205-08-3
 549CASN  	1078-71-3
 553CASN  	38842-05-6
 554CASN  	104-72-3
 555CASN  	605-01-6
 556CASN  	604-88-6
 557CASN  	827-52-1
 558CASN  	92-52-4
 559CASN  	92-94-4
 560CASN  	92-06-8
 561CASN  	84-15-1
 562CASN  	612-00-0
 563CASN  	101-81-5
 564CASN  	103-29-7
 565CASN  	519-73-3
 566CASN  	6362-80-7
 567CASN  	538-68-1
 568CASN  	1077-16-3
 569CASN  	2189-60-8
 570CASN  	1081-77-2
 571CASN  	6742-54-7
 572CASN  	123-02-4
 573CASN  	1459-10-5
 574CASN  	123-01-3
 575CASN  	934-74-7
 576CASN  	354381
 577CASN  	1758-88-9
 578CASN  	874-41-9
 579CASN  	934-80-5
 580CASN  	933-98-2
 581CASN  	1889-67-4
 582CASN  	2039-93-2
 583CASN  	768-00-3
 584CASN  	767-99-7
 585CASN  	1074-17-5
 586CASN  	1074-43-7
 587CASN  	1074-55-1
 588CASN  	1520-42-9
 589CASN  	630-76-2
 590CASN  	632-50-8
 591CASN  	7439-15-8
 592CASN  	17059-44-8
 593CASN  	61827-86-9
 594CASN  	61827-87-0
 595CASN  	17851-27-3
 596CASN  	51526-06-8
 601CASN  	100-42-5
 602CASN  	611-15-4
 603CASN  	100-80-1
 605CASN  	7564-63-8
 606CASN  	7525-62-4
 607CASN  	567776
 612CASN  	622-97-9
 613CASN  	98-83-9
 614CASN  	108-57-6
 615CASN  	536-74-3
 616CASN  	63444-56-4
 618CASN  	766-90-5
 619CASN  	873-66-5
 620CASN  	16262-48-9
 621CASN  	1746-23-2
 701CASN  	91-20-3
 702CASN  	90-12-0
 703CASN  	91-57-6
 704CASN  	1127-76-0
 706CASN  	119-64-2
 709CASN  	581-42-0
 710CASN  	605-02-7
 711CASN  	26438-26-6
 712CASN  	26438-27-7
 713CASN  	1634-09-9
 714CASN  	2876-53-1
 715CASN  	582-16-1
 716CASN  	66325-11-9
 717CASN  	206-44-0
 718CASN  	2765-18-6
 719CASN  	939-27-5
 723CASN  	767-59-9
 724CASN  	2177-47-1
 725CASN  	4773-83-5
 726CASN  	26472-00-4
 728CASN  	1961-96-2
 731CASN  	58-72-0
 732CASN  	632-51-9
 735CASN  	645-49-8
 736CASN  	103-30-0
 737CASN  	21956-56-9
 738CASN  	86-73-7
 803CASN  	95-13-6
 804CASN  	120-12-7
 805CASN  	85-01-8
 806CASN  	218-01-9
 807CASN  	129-00-0
 808CASN  	83-32-9
 809CASN  	208-96-8
 810CASN  	281-23-2
 811CASN  	3048-64-4
 812CASN  	2292-79-7
 814CASN  	702-79-4
 818CASN  	694-92-8
 819CASN  	15403-89-1
 820CASN  	496-11-7
 821CASN  	99-86-5
 822CASN  	99-85-4
 823CASN  	498-66-8
 824CASN  	16219-75-3
 826CASN  	56-55-3
 827CASN  	92-24-0
 829CASN  	127-27-5
 830CASN  	5835-26-7
 839CASN  	79-92-5
 840CASN  	80-56-8
 841CASN  	127-91-3
 899CASN  	10024-97-2
 900CASN  	10102-44-0
 901CASN  	7782-44-7
 902CASN  	1333-74-0
 904CASN  	10544-73-7
 905CASN  	7727-37-9
 906CASN  	10544-72-6
 908CASN  	630-08-0
 909CASN  	124-38-9
 910CASN  	2025884
 911CASN  	2025949
 912CASN  	10102-43-9
 913CASN  	7440-59-7
 914CASN  	7440-37-1
 915CASN  	132259-10-0
 917CASN  	7782-41-4
 918CASN  	7782-50-5
 919CASN  	2023453
 920CASN  	7439-90-9
 922CASN  	7726-95-6
 923CASN  	14762-55-1
 924CASN  	10028-15-6
 925CASN  	7782-39-0
 926CASN  	7784-42-1
 959CASN  	7440-63-3
1001CASN  	50-00-0
1002CASN  	75-07-0
1003CASN  	123-38-6
1004CASN  	100-50-5
1005CASN  	123-72-8
1006CASN  	78-84-2
1007CASN  	110-62-3
1008CASN  	111-71-7
1009CASN  	66-25-1
1010CASN  	124-13-0
1011CASN  	124-19-6
1013CASN  	123-05-7
1014CASN  	107-22-2
1016CASN  	925-54-2
1017CASN  	19269-28-4
1018CASN  	623-36-9
1019CASN  	645-62-5
1020CASN  	112-31-2
1021CASN  	112-44-7
1025CASN  	112-54-9
1026CASN  	10486-19-8
1031CASN  	96-17-3
1032CASN  	590-86-3
1034CASN  	107-02-8
1035CASN  	15798-64-8
1036CASN  	123-73-9
1037CASN  	78-85-3
1038CASN  	93-53-8
1039CASN  	529-20-4
1040CASN  	104-87-0
1041CASN  	100-52-7
1042CASN  	90-02-8
1043CASN  	123-08-0
1044CASN  	623-27-8
1045CASN  	620-23-5
1050CASN  	123-63-7
1051CASN  	67-64-1
1052CASN  	78-93-3
1053CASN  	96-22-0
1054CASN  	108-10-1
1055CASN  	565-61-7
1057CASN  	106-35-4
1058CASN  	123-19-3
1059CASN  	589-38-8
1060CASN  	107-87-9
1061CASN  	563-80-4
1062CASN  	591-78-6
1063CASN  	110-43-0
1064CASN  	110-12-3
1065CASN  	141-79-7
1066CASN  	75-97-8
1068CASN  	108-83-8
1069CASN  	565-80-0
1070CASN  	616-45-5
1071CASN  	872-50-4
1073CASN  	502-56-7
1074CASN  	821-55-6
1075CASN  	84-65-1
1076CASN  	123-54-6
1077CASN  	78-59-1
1079CASN  	120-92-3
1080CASN  	108-94-1
1083CASN  	111-13-7
1085CASN  	119-61-9
1090CASN  	98-86-2
1091CASN  	57-57-8
1092CASN  	96-48-0
1093CASN  	502-44-3
