hexafluoroantimonate	antimonate (1-), hexafluoro-	17111-95-4	SbF6-	-1	235.74
oxide	oxide	16833-27-5	O-2	-2	16
sulfide	sulfide	18496-25-8	S-2	-2	32.07
selenide	selenide	22541-48-6	Se-2	-2	78.96
telluride	telluride	22541-49-7	Te-2	-2	127.61
peroxide	peroxide (O2 2-)	14915-07-2	O2-2	-2	32
disulfide	sulfide (S2 2-)	16734-12-6	S2-2	-2	64.13
trisulfide	sulfide (S3 2-)	12597-05-6	S3-2	-2	96.21
carbonate	carbonate	3812-32-6	CO3-2	-2	60.01
oxalate	ethanedioic acid ion (2-)	338-70-5	C2O4-2	-2	88.02
metasilicate	silicate (SO3 2-)	15593-90-5	SiO3-2	-2	76.08
sulfite	sulfite	14265-45-3	SO3-2	-2	80.07
selenite	selenite	14124-67-5	SeO3-2	-2	126.97
tellurite	tellurate (TeO3 2-)	15852-22-9	TeO3-2	-2	175.61
sulfate	sulfate	14808-79-8	SO4-2	-2	96.07
selenate	selenate	14124-68-6	SeO4-2	-2	142.97
tellurate	tellurate (TeO4 2-)	15845-23-5	TeO4-2	-2	191.61
chromate	chromate (CrO4 2-)	13907-45-4	CrO4-2	-2	115.99
molybdate	molybdate (MoO4 2-)	14259-85-9	MoO4-2	-2	159.94
tungstate	tungstate (WO4 2-)	14311-52-5	WO4-2	-2	247.85
manganate(VI)	manganate (MnO4 2-)	14333-14-3	MnO4-2	-2	118.94
trans-hyponitrite	hyponitrite (trans)	15435-66-2	N2O2-2	-2	60.01
thiosulfate	thiosulfate	14383-50-7	S2O3-2	-2	112.12
dithionite	dithionite	14844-07-6	S2O4-2	-2	128.12
disulfite	disulfite	23134-05-6	S2O5-2	-2	144.12
dithionate	dithionate	14781-81-8	S2O6-2	-2	160.12
tetrathionate	tetrathionate	15536-54-6	S4O6-2	-2	224.24
peroxodisulfate	peroxydisulfate	15092-81-6	S2O8-2	-2	192.12
dichromate	chromate (Cr2O7 2-)	13907-47-6	Cr2O7-2	-2	215.99
tetraborate	borate B4O7 2-)	12258-53-6	B4O7-2	-2	155.24
hydrogenphosphate	phosphate (PO4 3-), hydrogen	14066-19-4	HPO4-2	-2	95.98
hydrogenvanadate	vanadate (VO4 3-), hydrogen	26450-38-4	HVO4-2	-2	138.93
hydrogenarsenate	arsenate (AsO4 3-), hydrogen	16844-87-4	HAsO4-2	-2	115.95
tetrachloropalladate	palladate (2-), tetrachloro-	14349-67-8	PdCl4-2	-2	248.23
tetrabromopalladate	palladate (2-), tetrabromo-	14127-70-9	PdBr4-2	-2	426.04
tetrachloroplatinate	platinate (2-), tetrachloro-	13965-91-8	PtCl4-2	-2	336.89
tetrabromoplatinate	platinate (2-), tetrabromo-	14493-01-7	PtBr4-2	-2	515.71
hexafluorosilicate	silicate (2-), hexafluoro-	17084-08-1	SiF6-2	-2	142.08
hexachloropalladate(IV)	palladate (2-), hexachloro-	17141-41-2	PdCl6-2	-2	319.14
hexachlorostannate(IV)	stannate (2-), hexachloro-	16871-48-0	SnCl6-2	-2	331.41
hexachlororhenate(IV)	rhenate (2-), hexachloro-	16871-50-4	ReCl6-2	-2	398.93
hexachloroiridate(IV)	iridate (2-), hexachloro-	60818-94-2	IrCl6-2	-2	404.94
